title,platform,score,genre,editors_choice,release_year
WWE '13,PlayStation 3,8.4,Wrestling,N,2012
Street Fighter x Tekken,PlayStation Vita,6.6,Fighting,N,2012
WWE '13,Xbox 360,8.4,Wrestling,N,2012
Chivalry: Medieval Warfare,PC,7.9,Adventure,N,2012
Sonic Jump,iPhone,7.5,Platformer,N,2012
F1 Race Stars,Xbox 360,5.2,Racing,N,2012
Call of Duty: Black Ops II,PC,9.3,Shooter,Y,2012
F1 Race Stars,PlayStation 3,5.2,Racing,N,2012
Midway Arcade Origins,PlayStation 3,5.5,"Action, Compilation",N,2012
Midway Arcade Origins,Xbox 360,5.5,"Action, Compilation",N,2012
Call of Duty: Black Ops II,Xbox 360,9.3,Shooter,Y,2012
Call of Duty: Black Ops II,PlayStation 3,9.3,Shooter,Y,2012
When Vikings Attack,PlayStation 3,6.5,"Fighting, Action",N,2012
When Vikings Attack,PlayStation Vita,6.5,"Fighting, Action",N,2012
"Freakyforms Deluxe: Your Creations, Alive!",Nintendo 3DS,5,Productivity,N,2012
Painkiller: Hell & Damnation,PC,5,Shooter,N,2012
Transformers Prime,Nintendo 3DS,8,Action,N,2012
Angry Birds Star Wars,iPhone,8.8,Puzzle,N,2012
Farming Simulator 2013,PC,7.1,Simulation,N,2012
Paper Mario: Sticker Star,Nintendo 3DS,8.3,RPG,N,2012
Lucius,PC,6,Adventure,N,2012
LittleBigPlanet Karting,PlayStation 3,5,Racing,N,2012
Primal Carnage,PC,7.6,Shooter,N,2012
Natural Selection 2,PC,8,Shooter,N,2012
Symphonica: Grand Maestro,iPhone,6,Music,N,2012
Football Manager 2013,Macintosh,9,"Sports, Simulation",Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,PC,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,iPad,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,Macintosh,9.5,Adventure,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,PlayStation 3,9.5,Adventure,Y,2012
Football Manager 2013,PC,9,"Sports, Simulation",Y,2012
Need for Speed Most Wanted,PlayStation Vita,7.4,"Racing, Action",N,2012
Orgarhythm,PlayStation Vita,4.7,"Music, Action",N,2012
Sports Champions 2,PlayStation 3,7.6,"Sports, Action",N,2012
Kinect Party,Xbox 360,8.5,Party,N,2012
Sky Gamblers: Storm Raiders,iPhone,7.1,Action,N,2012
Oddworld: Stranger's Wrath HD,PlayStation Vita,7.5,"Action, Adventure",N,2012
AirBuccaneers,PC,7.5,Action,N,2012
Theatrhythm Final Fantasy,iPhone,8,"Music, Action",N,2012
Sing Party,Wii U,6.3,Music,N,2012
Beatdown!,iPhone,6.3,"Fighting, Action",N,2012
Waking Mars,PC,6.5,Action,N,2012
Waking Mars,iPhone,6.5,Action,N,2012
Hitman: Absolution,PlayStation 3,9,Action,Y,2012
Hitman: Absolution,Xbox 360,9,Action,Y,2012
ZombiU,Wii U,6.3,Shooter,N,2012
Grand Theft Auto: Vice City,iPhone,7.7,"Action, Adventure",N,2012
Street Fighter X Mega Man,PC,7,Action,N,2012
Sonic & All-Stars Racing Transformed,PlayStation Vita,7,"Racing, Action",N,2012
Sonic & All-Stars Racing Transformed,Nintendo 3DS,7,"Racing, Action",N,2012
The Sims 3: Seasons,PC,7.5,Simulation,N,2012
Tank! Tank! Tank!,Wii U,5.8,Action,N,2012
Guardians of Middle-earth,Xbox 360,7.5,Battle,N,2012
Ratchet & Clank: Full Frontal Assault,PlayStation 3,6.4,Action,N,2012
Page Chronica,PlayStation 3,4.1,Puzzle,N,2012
Hitman: Absolution,PC,9,Action,Y,2012
Batman: Arkham City -- Armored Edition,Wii U,9.5,Action,Y,2012
Disney Epic Mickey 2: The Power of Two,PlayStation 3,6,"Action, Adventure",N,2012
Disney Epic Mickey 2: The Power of Two,Xbox 360,6,"Action, Adventure",N,2012
Darksiders II,Wii U,7.5,Action,N,2012
Scribblenauts Unlimited,Wii U,8.8,"Puzzle, Action",Y,2012
Call of Duty: Black Ops Declassified,PlayStation Vita,4,Shooter,N,2012
Fallen Enchantress,PC,7.9,Strategy,N,2012
Guns of Icarus Online,PC,7.3,Shooter,N,2012
Miner Wars 2081,PC,5,Shooter,N,2012
Guardians of Middle-earth,PlayStation 3,7.5,Battle,N,2012
The Elder Scrolls V: Skyrim -- Dragonborn,Xbox 360,8.8,RPG,N,2012
Baldur's Gate -- Enhanced Edition,iPad,6,RPG,N,2012
Black Knight Sword,Xbox 360,6.9,"Puzzle, Adventure",N,2012
Black Knight Sword,PlayStation 3,6.9,"Puzzle, Adventure",N,2012
The Walking Dead: A Telltale Game Series -- Season One,Xbox 360,9.3,Adventure,Y,2012
Sonic & All-Stars Racing Transformed,Xbox 360,8.6,"Racing, Action",N,2012
New Super Mario Bros. U,Wii U,9.1,Platformer,Y,2012
Sonic & All-Stars Racing Transformed,PlayStation 3,8.6,"Racing, Action",N,2012
Nintendo Land,Wii U,8.7,Party,Y,2012
ARC Squadron,iPhone,7.3,"Flight, Action",N,2012
Ninja Gaiden III: Razor's Edge,Wii U,7.6,Action,N,2012
The Walking Dead: A Telltale Game Series -- Season One,PlayStation 3,9.3,Adventure,Y,2012
The Walking Dead -- Game of the Year Edition,PC,9.3,Adventure,Y,2012
The Walking Dead: A Telltale Game Series -- Season One,iPhone,9.3,Adventure,Y,2012
Real Boxing,iPhone,7.6,Sports,N,2012
Baldur's Gate -- Enhanced Edition,PC,8.1,RPG,N,2012
Crashmo,Nintendo 3DS,9.5,"Puzzle, Action",Y,2012
PlanetSide 2,PC,9,Shooter,Y,2012
Disney Epic Mickey 2: The Power of Two,Wii U,6,"Action, Adventure",N,2012
The Walking Dead: A Telltale Game Series -- Season One,PC,9.3,Adventure,Y,2012
The Walking Dead: A Telltale Game Series -- Season One,Macintosh,9.3,Adventure,Y,2012
Strike Suit Zero,PC,7.5,Shooter,N,2013
Final Fantasy: All The Bravest,iPhone,2.5,RPG,N,2013
Tokyo Crash Mobs,Nintendo 3DS,7.7,"Puzzle, Action",N,2013
Ni no Kuni: Wrath of the White Witch,PlayStation 3,9.4,RPG,Y,2013
Marvel's The Avengers: Battle For Earth,Wii U,5,Action,N,2013
Borderlands 2: Sir Hammerlock's Big Game Hunt,Xbox 360,6.9,"Shooter, RPG",N,2013
Assassin's Creed III,PC,8.6,"Action, Adventure",Y,2012
Chasing Aurora,Wii U,6,Action,N,2012
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?,Nintendo 3DS,8.5,Adventure,Y,2012
Madden NFL 13,Wii,8.3,Sports,N,2012
Warriors Orochi 3 Hyper,Wii U,7,Action,N,2012
Transformers Prime,Wii U,7.8,Action,N,2012
Skylanders Battlegrounds,iPhone,6.6,Action,N,2012
Rage of the Gladiator,iPhone,7.6,Action,N,2012
FIFA Soccer 13,Wii U,6,Sports,N,2012
Family Guy: Back to the Multiverse,Xbox 360,6,Adventure,N,2012
Family Guy: Back to the Multiverse,PlayStation 3,6,Adventure,N,2012
Little Inferno,PC,5,Puzzle,N,2012
Little Inferno,Wii U,5,Puzzle,N,2012
The Walking Dead -- Game of the Year Edition,PlayStation 3,9.3,Adventure,Y,2012
The Walking Dead -- Game of the Year Edition,Xbox 360,9.3,Adventure,Y,2012
The Walking Dead: A Telltale Game Series -- Season One,iPad,9.3,Adventure,Y,2012
Minigore 2: Zombies,iPhone,9.1,Shooter,Y,2012
Jet Set Radio,iPhone,5.6,Action,N,2012
Forge,PC,7,Shooter,N,2012
Nancy Drew: The Deadly Device,PC,6.8,Adventure,N,2012
Into the Dead,iPhone,7,Action,N,2012
Just Dance 4,Wii U,5.3,Music,N,2012
Borderlands 2: Sir Hammerlock's Big Game Hunt,PC,6.9,"Shooter, RPG",N,2013
Borderlands 2: Sir Hammerlock's Big Game Hunt,PlayStation 3,6.9,"Shooter, RPG",N,2013
DmC: Devil May Cry,PC,8.9,Action,Y,2013
Unchained Blades,Nintendo 3DS,8,RPG,N,2013
DmC: Devil May Cry,PlayStation 3,8.5,Action,Y,2013
The Earth Defense Force 2017 Portable,PlayStation Vita,7.5,Action,N,2013
007 Legends,Wii U,4.2,Action,N,2013
Wraithborne,iPhone,5.2,Action,N,2012
Persona 4 Golden,PlayStation Vita,9.3,RPG,Y,2012
Call of Duty: Black Ops II,Wii U,9.3,Shooter,Y,2012
Rabbids Land,Wii U,5,Party,N,2012
Tekken Tag Tournament 2: Wii U Edition,Wii U,7.5,Fighting,N,2012
Far Cry 3,PC,9,Shooter,Y,2012
Madden NFL 13,Wii U,8.3,Sports,N,2012
Far Cry 3,PlayStation 3,9,Shooter,Y,2012
Little Inferno,Macintosh,5,Puzzle,N,2012
Little Inferno,iPad,5,Puzzle,N,2012
Little Inferno,Linux,5,Puzzle,N,2012
Little Inferno,iPhone,5,Puzzle,N,2012
Little Chomp,iPhone,8,Action,N,2012
Trine 2: Director's Cut,Wii U,9,Action,Y,2012
LEGO The Lord of the Rings [Portable],Nintendo 3DS,3.8,"Action, Adventure",N,2012
LEGO The Lord of the Rings [Portable],PlayStation Vita,3.8,"Action, Adventure",N,2012
LEGO The Lord of the Rings,Xbox 360,6.8,"Action, Adventure",N,2012
Writer Rumble,iPhone,8.2,"Puzzle, Word Game",N,2012
Mass Effect,PlayStation 3,9,RPG,Y,2012
Guilty Gear XX Accent Core Plus,Xbox 360,8.3,Fighting,N,2012
Guilty Gear XX Accent Core Plus,PlayStation 3,8.3,Fighting,N,2012
Uncharted: Fight For Fortune,PlayStation Vita,7,"Card, Battle",N,2012
Modern Combat 4: Zero Hour,iPhone,7.8,Shooter,N,2012
Wonderbook: Book  of Spells,PlayStation 3,6,"Simulation, Adventure",N,2012
Rift: Storm Legion,PC,8.3,RPG,N,2012
Joe Danger,iPhone,9.1,Action,Y,2013
DmC: Devil May Cry,Xbox 360,8.9,Action,Y,2013
Anarchy Reigns,Xbox 360,5.9,Action,N,2013
Anarchy Reigns,PlayStation 3,5.9,Action,N,2013
Kentucky Route Zero: Act 1,PC,8.3,Adventure,N,2013
Primordia,PC,6.8,Adventure,N,2013
Mutant Mudds,iPhone,9.1,Platformer,Y,2013
Far Cry 3,Xbox 360,9,Shooter,Y,2012
Mass Effect 3 (Special Edition),Wii U,9.5,RPG,N,2012
Nano Assault Neo,Wii U,9,Shooter,Y,2012
Disney Epic Mickey: Power of Illusion,Nintendo 3DS,7,"Action, Adventure",N,2012
Assassin's Creed III,Wii U,8.5,"Action, Adventure",N,2012
Borderlands 2: Mr. Torgue's Campaign of Carnage,PC,9.2,"Shooter, RPG",Y,2012
Scribblenauts Unlimited,PC,8.8,"Puzzle, Action",Y,2012
Borderlands 2: Mr. Torgue's Campaign of Carnage,Xbox 360,9.2,"Shooter, RPG",Y,2012
PlayStation All-Stars Battle Royale,PlayStation Vita,8,Fighting,N,2012
Jetpack Joyride,PlayStation Portable,7.4,Platformer,N,2012
LEGO The Lord of the Rings,PlayStation 3,6.8,"Action, Adventure",N,2012
The Walking Dead: Assault,iPhone,7.5,Adventure,N,2012
Miasmata,PC,7.9,Adventure,N,2012
Bladeslinger: Episode 1,iPhone,7.2,Action,N,2012
Funky Barn,Wii U,5,Simulation,N,2012
ESPN Sports Connection,Wii U,3,Sports,N,2012
Sonic & All-Stars Racing Transformed,Wii U,8.8,"Racing, Action",N,2012
Infestation: Survivor Stories,PC,3,Action,N,2013
Labyrinth Legends,PlayStation 3,7.7,RPG,N,2013
Ace of Spades,PC,5.9,Shooter,N,2013
Monsters Inc. Run,iPhone,7.7,Action,N,2013
Pudding Monsters,iPhone,7.3,"Puzzle, Adventure",N,2012
Borderlands 2: Mr. Torgue's Campaign of Carnage,PlayStation 3,9.2,"Shooter, RPG",Y,2012
PlayStation All-Stars Battle Royale,PlayStation 3,8,Fighting,N,2012
NBA 2K13,Wii U,9.1,Sports,Y,2012
The Walking Dead: The Game -- Episode 5: No Time Left,Xbox 360,9.5,Adventure,Y,2012
NFL Quarterback Club '97,PlayStation,5,Sports,N,1996
Namco Museum Vol. 2,PlayStation,6,"Action, Compilation",N,1996
Raven Project,PlayStation,3,Action,N,1996
Silverload,PlayStation,6,Adventure,N,1996
Return Fire,PlayStation,7,Action,N,1996
Rise 2: Resurrection,PlayStation,2,Fighting,N,1996
Robo Pit,PlayStation,6.5,Fighting,N,1996
NBA ShootOut,PlayStation,6,Sports,N,1996
Beyond The Beyond,PlayStation,4,RPG,N,1996
Crash Bandicoot,PlayStation,7.5,Platformer,N,1996
Bust-A-Move 2: Arcade Edition,PlayStation,8,Puzzle,N,1996
CyberSpeed,PlayStation,5,Racing,N,1996
D,PlayStation,7,Adventure,N,1996
Assault Rigs,PlayStation,6,Action,N,1996
ESPN Extreme Games,PlayStation,5,Sports,N,1996
Doom (1993),PlayStation,7,Shooter,N,1996
Bottom of the 9th,PlayStation,8,Sports,N,1996
Adidas Power Soccer,PlayStation,7,Sports,N,1996
Agile Warrior F-111X,PlayStation,2,Action,N,1996
Alien Trilogy,PlayStation,8,Action,N,1996
Alone in the Dark: One Eyed Jack's Revenge,PlayStation,6,Adventure,N,1996
Fade to Black,PlayStation,7,Adventure,N,1996
Die Hard Trilogy,PlayStation,7.5,Action,N,1996
Discworld,PlayStation,7,Adventure,N,1996
Battle Arena Toshinden 2,PlayStation,6,Fighting,N,1996
A-Train,PlayStation,6,Strategy,N,1996
Casper -- A Haunting 3D Challenge,PlayStation,4,Action,N,1996
Bogey Dead 6,PlayStation,6,"Flight, Action",N,1996
Namco Museum Vol. 1,PlayStation,8,"Action, Compilation",N,1996
Road & Track Presents: The Need for Speed,PlayStation,7,Racing,N,1996
Romance of the Three Kingdoms IV: Wall of Fire,PlayStation,6,Strategy,N,1996
PGA Tour '96,PlayStation,7,Sports,N,1996
Rayman,PlayStation,7,Platformer,N,1996
Raiden Project,PlayStation,6,Shooter,N,1996
Andretti Racing,PlayStation,8,Racing,N,1996
